ind	protName	numOrthology
1	Q0050	6
2	Q0080	2
3	Q0085	33
4	Q0130	55
5	Q0250	29
6	Q0275	32
7	R0020C	0
8	R0030W	0
9	YAL001C	6
10	YAL002W	67
11	YAL003W	91
12	YAL004W	0
13	YAL005C	81
14	YAL007C	51
15	YAL009W	12
16	YAL010C	18
17	YAL011W	7
18	YAL012W	86
19	YAL013W	5
20	YAL014C	7
21	YAL015C	38
22	YAL016W	96
23	YAL017W	16
24	YAL018C	4
25	YAL019W	69
26	YAL021C	67
27	YAL022C	80
28	YAL023C	54
29	YAL024C	28
30	YAL025C	90
31	YAL026C	93
32	YAL027W	2
33	YAL028W	2
34	YAL029C	16
35	YAL030W	36
36	YAL031C	4
37	YAL032C	85
38	YAL033W	39
39	YAL034C	9
40	YAL034W-A	14
41	YAL035W	92
42	YAL036C	94
43	YAL038W	87
44	YAL040C	11
45	YAL041W	37
46	YAL042W	93
47	YAL043C	36
48	YAL045C	0
49	YAL047C	3
50	YAL048C	86
51	YAL049C	45
52	YAL051W	3
53	YAL053W	13
54	YAL054C	17
55	YAL055W	3
56	YAL056W	0
57	YAL058W	88
58	YAL059W	4
59	YAL060W	6
60	YAL061W	6
61	YAL062W	60
62	YAL063C-A	0
63	YAL064W	0
64	YAL064W-B	0
65	YAL066W	0
66	YAL067C	11
67	YAL069W	0
68	YAR002C-A	26
69	YAR002W	6
70	YAR003W	78
71	YAR007C	94
72	YAR008W	47
73	YAR014C	12
74	YAR018C	65
75	YAR019C	25
76	YAR023C	1
77	YAR027W	0
78	YAR028W	0
79	YAR030C	0
80	YAR031W	0
81	YAR033W	0
82	YAR035W	73
83	YAR042W	59
84	YAR047C	0
85	YAR064W	0
86	YAR066W	0
87	YAR068W	0
88	YAR069C	0
89	YAR071W	20
90	YAR073W	0
91	YBL001C	16
92	YBL002W	40
93	YBL003C	83
94	YBL004W	80
95	YBL005W	0
96	YBL005W-B	0
97	YBL006C	2
98	YBL007C	28
99	YBL008W	53
100	YBL009W	12
101	YBL010C	3
102	YBL013W	61
103	YBL014C	5
104	YBL015W	43
105	YBL016W	75
106	YBL017C	34
107	YBL018C	3
108	YBL019W	66
109	YBL020W	82
110	YBL021C	77
111	YBL022C	90
112	YBL023C	96
113	YBL024W	92
114	YBL025W	3
115	YBL026W	77
116	YBL027W	94
117	YBL029W	2
118	YBL030C	52
119	YBL031W	2
120	YBL032W	23
121	YBL033C	26
122	YBL034C	12
123	YBL035C	79
124	YBL036C	94
125	YBL037W	90
126	YBL038W	33
127	YBL039C	71
128	YBL040C	95
129	YBL041W	94
130	YBL042C	2
131	YBL043W	8
132	YBL044W	0
133	YBL045C	4
134	YBL046W	12
135	YBL047C	72
136	YBL049W	84
137	YBL050W	95
138	YBL051C	20
139	YBL052C	21
140	YBL053W	0
141	YBL054W	0
142	YBL056W	39
143	YBL058W	81
144	YBL059W	1
145	YBL061C	26
146	YBL063W	89
147	YBL064C	81
148	YBL065W	0
149	YBL066C	9
150	YBL067C	35
151	YBL068W	59
152	YBL071C	0
153	YBL072C	97
154	YBL074C	44
155	YBL075C	15
156	YBL076C	96
157	YBL078C	93
158	YBL079W	72
159	YBL080C	73
160	YBL081W	1
161	YBL082C	78
162	YBL084C	74
163	YBL085W	16
164	YBL086C	11
165	YBL088C	16
166	YBL089W	20
167	YBL090W	2
168	YBL091C	96
169	YBL092W	92
170	YBL093C	3
171	YBL094C	0
172	YBL095W	12
173	YBL097W	77
174	YBL098W	80
175	YBL099W	91
176	YBL100C	0
177	YBL100W-A	0
178	YBL101C	3
179	YBL102W	72
180	YBL103C	23
181	YBL104C	62
182	YBL105C	74
183	YBL106C	45
184	YBL107C	12
185	YBL108W	0
186	YBL112C	0
187	YBL113C	0
188	YBR001C	37
189	YBR003W	91
190	YBR004C	70
191	YBR006W	83
192	YBR007C	14
193	YBR008C	14
194	YBR010W	98
195	YBR011C	95
196	YBR012C	0
197	YBR012W-B	0
198	YBR013C	0
199	YBR014C	11
200	YBR015C	14
201	YBR017C	92
202	YBR018C	73
203	YBR019C	30
204	YBR020W	81
205	YBR021W	6
206	YBR023C	27
207	YBR024W	35
208	YBR025C	96
209	YBR027C	0
210	YBR028C	12
211	YBR029C	89
212	YBR033W	0
213	YBR034C	96
214	YBR035C	71
215	YBR036C	2
216	YBR037C	60
217	YBR038W	25
218	YBR039W	92
219	YBR040W	7
220	YBR041W	72
221	YBR042C	62
222	YBR043C	18
223	YBR044C	2
224	YBR045C	1
225	YBR047W	2
226	YBR049C	16
227	YBR050C	0
228	YBR052C	0
229	YBR053C	33
230	YBR054W	8
231	YBR055C	93
232	YBR056W	11
233	YBR057C	5
234	YBR058C	92
235	YBR058C-A	2
236	YBR059C	36
237	YBR060C	72
238	YBR061C	90
239	YBR063C	0
240	YBR064W	0
241	YBR065C	22
242	YBR066C	26
243	YBR067C	1
244	YBR068C	5
245	YBR069C	16
246	YBR070C	76
247	YBR072W	16
248	YBR073W	25
249	YBR074W	33
250	YBR076W	1
251	YBR077C	2
252	YBR078W	14
253	YBR079C	90
254	YBR080C	95
255	YBR081C	17
256	YBR082C	59
257	YBR083W	6
258	YBR084W	35
259	YBR085W	48
260	YBR086C	41
261	YBR087W	94
262	YBR088C	92
263	YBR089C-A	37
264	YBR089W	0
265	YBR090C	0
266	YBR091C	4
267	YBR093C	21
268	YBR094W	37
269	YBR095C	9
270	YBR096W	19
271	YBR097W	80
272	YBR098W	9
273	YBR099C	0
274	YBR101C	49
275	YBR102C	48
276	YBR103W	70
277	YBR105C	39
278	YBR106W	23
279	YBR107C	0
280	YBR108W	3
281	YBR109C	98
282	YBR109W-A	0
283	YBR110W	88
284	YBR111W-A	50
285	YBR112C	53
286	YBR113W	0
287	YBR114W	46
288	YBR115C	44
289	YBR116C	0
290	YBR117C	16
291	YBR118W	97
292	YBR119W	15
293	YBR120C	4
294	YBR121C	91
295	YBR122C	12
296	YBR123C	37
297	YBR124W	0
298	YBR125C	8
299	YBR126C	49
300	YBR127C	96
301	YBR128C	2
302	YBR129C	5
303	YBR130C	2
304	YBR131W	3
305	YBR132C	16
306	YBR133C	83
307	YBR134W	0
308	YBR135W	87
309	YBR136W	59
310	YBR137W	11
311	YBR138C	3
312	YBR139W	60
313	YBR140C	20
314	YBR141C	24
315	YBR142W	80
316	YBR143C	93
317	YBR144C	0
318	YBR145W	3
319	YBR146W	36
320	YBR149W	6
321	YBR150C	0
322	YBR152W	0
323	YBR154C	90
324	YBR155W	84
325	YBR156C	7
326	YBR157C	2
327	YBR158W	18
328	YBR159W	92
329	YBR160W	95
330	YBR161W	12
331	YBR162C	13
332	YBR162W-A	5
333	YBR163W	11
334	YBR166C	25
335	YBR167C	10
336	YBR168W	2
337	YBR169C	35
338	YBR170C	85
339	YBR171W	15
340	YBR172C	25
341	YBR173C	45
342	YBR174C	0
343	YBR175W	79
344	YBR176W	32
345	YBR177C	10
346	YBR178W	0
347	YBR179C	24
348	YBR180W	14
349	YBR182C	31
350	YBR183W	17
351	YBR184W	0
